permutation,mean_auroc,mean_accuracy,n_folds_scored
0,0.582088122605364,0.6111111111111112,30
1,0.5639846743295018,0.4611111111111111,30
2,0.6927777777777778,0.55,30
3,0.7086206896551726,0.6166666666666668,30
4,0.5092592592592593,0.49444444444444446,30
5,0.435462962962963,0.4111111111111111,30
6,0.5115740740740741,0.4666666666666667,30
7,0.584623015873016,0.4722222222222222,30
8,0.7264814814814814,0.6277777777777778,30
9,0.5745370370370372,0.538888888888889,30
10,0.5405172413793103,0.4833333333333333,30
11,0.6631481481481482,0.6666666666666665,30
12,0.6648148148148149,0.5888888888888888,30
13,0.6288888888888889,0.5666666666666667,30
14,0.6281481481481481,0.6111111111111112,30
15,0.5716475095785442,0.4833333333333333,30
16,0.5452380952380953,0.3944444444444445,30
17,0.44277777777777777,0.4611111111111112,30
18,0.4928703703703704,0.4888888888888888,30
19,0.561574074074074,0.49444444444444446,30
20,0.37950191570881225,0.36111111111111105,30
21,0.5196296296296297,0.5,30
22,0.42898148148148146,0.45555555555555555,30
23,0.32740740740740737,0.3333333333333333,30
24,0.495925925925926,0.4444444444444444,30
25,0.6867816091954023,0.5333333333333333,30
26,0.46222222222222226,0.42777777777777776,30
27,0.7267592592592592,0.5722222222222223,30
28,0.5305555555555554,0.5,30
29,0.412037037037037,0.3777777777777778,30
30,0.3845238095238095,0.3277777777777778,30
31,0.6214285714285716,0.6055555555555555,30
32,0.37027777777777776,0.3777777777777779,30
33,0.5059259259259259,0.4722222222222222,30
34,0.5731481481481481,0.5277777777777778,30
35,0.3361111111111111,0.3111111111111111,30
36,0.2902298850574713,0.27777777777777773,30
37,0.29950396825396824,0.3611111111111111,30
38,0.5458333333333333,0.4777777777777778,30
39,0.5275000000000001,0.43888888888888894,30
40,0.40453703703703703,0.3888888888888889,30
41,0.6679629629629631,0.5444444444444444,30
42,0.39861111111111114,0.388888888888889,30
43,0.4397509578544061,0.38888888888888895,30
44,0.4887962962962963,0.5055555555555555,30
45,0.3906481481481482,0.4000000000000001,30
46,0.5605363984674329,0.4722222222222222,30
47,0.5361111111111111,0.4611111111111111,30
48,0.6224137931034485,0.5277777777777778,30
49,0.42442528735632185,0.44999999999999996,30
50,0.4237547892720307,0.4222222222222222,30
51,0.2924074074074074,0.2777777777777778,30
52,0.4800925925925926,0.4222222222222222,30
53,0.4792592592592593,0.40555555555555556,30
54,0.44722222222222224,0.41111111111111115,30
55,0.45000000000000007,0.4555555555555555,30
56,0.41553497942386836,0.38333333333333325,30
57,0.5901340996168581,0.5055555555555556,30
58,0.43462962962962964,0.4055555555555555,30
59,0.40603448275862075,0.4,30
60,0.7275862068965518,0.6166666666666668,30
61,0.6618518518518519,0.5444444444444445,30
62,0.586574074074074,0.5055555555555554,30
63,0.4272222222222222,0.5,30
64,0.6153703703703705,0.5055555555555555,30
65,0.6695370370370372,0.5777777777777778,30
66,0.4627394636015327,0.46111111111111114,30
67,0.49824074074074076,0.5055555555555555,30
68,0.5599074074074075,0.5555555555555555,30
69,0.3193518518518518,0.3666666666666666,30
70,0.7477777777777778,0.6444444444444444,30
71,0.6527777777777778,0.5,30
72,0.6247222222222223,0.5777777777777778,30
73,0.5849616858237547,0.49444444444444446,30
74,0.5266666666666666,0.4611111111111111,30
75,0.7691358024691359,0.6944444444444444,30
76,0.33546296296296296,0.4111111111111111,30
77,0.477962962962963,0.4777777777777778,30
78,0.5933908045977011,0.48888888888888893,30
79,0.20694444444444443,0.27777777777777773,30
80,0.3080555555555556,0.29444444444444445,30
81,0.5644444444444443,0.5111111111111111,30
82,0.5212301587301588,0.4833333333333333,30
83,0.7442528735632185,0.5722222222222223,30
84,0.523425925925926,0.44999999999999996,30
85,0.7704980842911877,0.638888888888889,30
86,0.536015325670498,0.4555555555555555,30
87,0.5690740740740742,0.5277777777777778,30
88,0.5410185185185185,0.45555555555555555,30
89,0.5808429118773947,0.5888888888888889,30
90,0.5921296296296296,0.49999999999999994,30
91,0.4489814814814814,0.4333333333333334,30
92,0.39129629629629625,0.361111111111111,30
93,0.5124074074074074,0.4333333333333334,30
94,0.5086206896551724,0.4777777777777778,30
95,0.6614942528735633,0.6055555555555556,30
96,0.42018518518518516,0.43333333333333335,30
97,0.3549999999999999,0.3722222222222222,30
98,0.5737962962962962,0.5222222222222223,30
99,0.7409003831417625,0.5888888888888889,30
