permutation,mean_auroc,mean_accuracy,n_folds_scored
0,0.5935823754789272,0.5944444444444443,30
1,0.3985632183908046,0.39444444444444443,30
2,0.5521296296296296,0.5277777777777776,30
3,0.6362068965517241,0.5222222222222221,30
4,0.4527777777777778,0.41111111111111115,30
5,0.494074074074074,0.42777777777777776,30
6,0.5034259259259259,0.4666666666666667,30
7,0.6085317460317461,0.5111111111111112,30
8,0.5973148148148149,0.5166666666666667,30
9,0.6127777777777779,0.5944444444444444,30
10,0.4089080459770114,0.33888888888888885,30
11,0.5951851851851852,0.638888888888889,30
12,0.5235185185185185,0.48333333333333334,30
13,0.6768518518518518,0.5888888888888888,30
14,0.6623148148148149,0.611111111111111,30
15,0.5603448275862069,0.4888888888888889,30
16,0.5512896825396826,0.4444444444444444,30
17,0.4987962962962963,0.4777777777777777,30
18,0.5368518518518518,0.48333333333333334,30
19,0.7244444444444444,0.5833333333333335,30
20,0.4667624521072798,0.4777777777777778,30
21,0.5332407407407408,0.5111111111111112,30
22,0.5300925925925926,0.5555555555555556,30
23,0.5886111111111111,0.5111111111111112,30
24,0.5150925925925927,0.5055555555555555,30
25,0.6472222222222223,0.5333333333333333,30
26,0.5539814814814814,0.4944444444444444,30
27,0.7081481481481482,0.6277777777777779,30
28,0.6713601532567052,0.5722222222222222,30
29,0.43592592592592594,0.4277777777777778,30
30,0.4108134920634921,0.3277777777777777,30
31,0.6890873015873017,0.6555555555555554,30
32,0.21870370370370373,0.2722222222222222,30
33,0.5371296296296297,0.5055555555555555,30
34,0.5649074074074074,0.5277777777777778,30
35,0.446360153256705,0.41111111111111115,30
36,0.517911877394636,0.4611111111111111,30
37,0.3502976190476191,0.3499999999999999,30
38,0.6260185185185186,0.47222222222222227,30
39,0.41277777777777774,0.43333333333333335,30
40,0.528611111111111,0.49444444444444446,30
41,0.6351851851851851,0.5111111111111111,30
42,0.2551587301587302,0.3277777777777777,30
43,0.4082375478927202,0.36666666666666664,30
44,0.43185185185185193,0.4166666666666667,30
45,0.425462962962963,0.3777777777777778,30
46,0.6252873563218392,0.488888888888889,30
47,0.592816091954023,0.5444444444444445,30
48,0.646168582375479,0.6,30
49,0.39042145593869726,0.4611111111111111,30
50,0.453831417624521,0.39999999999999997,30
51,0.3726851851851852,0.3777777777777777,30
52,0.5194444444444444,0.48333333333333334,30
53,0.6071296296296296,0.5277777777777777,30
54,0.43629629629629635,0.43888888888888894,30
55,0.38518518518518513,0.4222222222222222,30
56,0.5022633744855968,0.47222222222222227,30
57,0.5481800766283524,0.5277777777777778,30
58,0.475,0.4333333333333333,30
59,0.44568965517241377,0.38888888888888895,30
60,0.6492337164750959,0.5777777777777778,30
61,0.5621296296296295,0.5444444444444445,30
62,0.6043518518518519,0.5055555555555555,30
63,0.46842592592592597,0.4722222222222222,30
64,0.5109259259259259,0.5444444444444444,30
65,0.7377777777777779,0.6833333333333332,30
66,0.34568965517241373,0.3722222222222223,30
67,0.4861111111111111,0.49999999999999994,30
68,0.509537037037037,0.46111111111111114,30
69,0.3466666666666666,0.3333333333333333,30
70,0.710925925925926,0.5277777777777778,30
71,0.6914750957854406,0.6166666666666668,30
72,0.5882407407407407,0.5944444444444446,30
73,0.5531609195402298,0.44999999999999996,30
74,0.43518518518518523,0.43333333333333335,30
75,0.7140946502057613,0.6833333333333335,30
76,0.2423148148148148,0.31666666666666665,30
77,0.5221296296296297,0.4833333333333333,30
78,0.5187739463601533,0.47777777777777786,30
79,0.27212962962962967,0.28888888888888886,30
80,0.40731481481481485,0.3833333333333334,30
81,0.5920370370370371,0.5111111111111112,30
82,0.5316468253968254,0.44444444444444436,30
83,0.5635057471264369,0.5,30
84,0.5225000000000001,0.4722222222222222,30
85,0.6442528735632183,0.5722222222222223,30
86,0.7184865900383142,0.5777777777777777,30
87,0.6496296296296296,0.5777777777777777,30
88,0.6000925925925925,0.4833333333333334,30
89,0.600095785440613,0.5722222222222223,30
90,0.6001851851851853,0.4944444444444444,30
91,0.32388888888888895,0.31111111111111106,30
92,0.4141666666666666,0.39444444444444443,30
93,0.40083333333333326,0.3833333333333334,30
94,0.4886015325670499,0.47222222222222227,30
95,0.6371647509578544,0.627777777777778,30
96,0.5171296296296296,0.47777777777777775,30
97,0.24564814814814814,0.3222222222222222,30
98,0.5267592592592593,0.4277777777777778,30
99,0.6001915708812262,0.5111111111111111,30
