permutation,mean_auroc,mean_accuracy,n_folds_scored
0,0.6507662835249044,0.5833333333333334,30
1,0.5102490421455939,0.4388888888888889,30
2,0.6637962962962962,0.5222222222222221,30
3,0.6397509578544063,0.5833333333333333,30
4,0.6188888888888889,0.5277777777777778,30
5,0.5089814814814815,0.4166666666666667,30
6,0.5102777777777777,0.47222222222222227,30
7,0.60625,0.4833333333333334,30
8,0.5737962962962964,0.47777777777777775,30
9,0.5467592592592593,0.5555555555555556,30
10,0.42940613026819924,0.38333333333333325,30
11,0.6793518518518518,0.6444444444444443,30
12,0.6863888888888888,0.5944444444444446,30
13,0.6879629629629629,0.5499999999999999,30
14,0.6481481481481483,0.6166666666666667,30
15,0.6031609195402299,0.4888888888888888,30
16,0.5418650793650794,0.38333333333333336,30
17,0.4960185185185185,0.44444444444444453,30
18,0.524537037037037,0.5833333333333334,30
19,0.5450925925925926,0.4888888888888889,30
20,0.4093869731800766,0.3722222222222222,30
21,0.5538888888888889,0.55,30
22,0.4675925925925926,0.4833333333333333,30
23,0.40148148148148155,0.35555555555555557,30
24,0.4930555555555556,0.4055555555555556,30
25,0.7162835249042145,0.5833333333333334,30
26,0.46518518518518526,0.4166666666666667,30
27,0.6428703703703703,0.5833333333333334,30
28,0.44760536398467426,0.42777777777777776,30
29,0.4639814814814815,0.41666666666666663,30
30,0.39365079365079364,0.34444444444444433,30
31,0.5939484126984126,0.55,30
32,0.25666666666666665,0.3277777777777778,30
33,0.5483333333333333,0.46111111111111114,30
34,0.5542592592592592,0.47222222222222215,30
35,0.40852490421455945,0.35555555555555557,30
36,0.2656130268199234,0.2944444444444444,30
37,0.33462301587301585,0.36666666666666664,30
38,0.5551851851851851,0.5,30
39,0.4799074074074074,0.4222222222222223,30
40,0.4325000000000001,0.4111111111111111,30
41,0.6110185185185185,0.5222222222222223,30
42,0.4018849206349206,0.3888888888888889,30
43,0.5054597701149425,0.4222222222222223,30
44,0.49611111111111117,0.5222222222222223,30
45,0.4425000000000001,0.4222222222222222,30
46,0.6440613026819924,0.5333333333333333,30
47,0.5491379310344828,0.5444444444444445,30
48,0.6542145593869733,0.5722222222222222,30
49,0.4486590038314176,0.4333333333333333,30
50,0.4136015325670498,0.3888888888888888,30
51,0.29268518518518516,0.3,30
52,0.5069444444444445,0.44999999999999996,30
53,0.46574074074074073,0.3777777777777779,30
54,0.40314814814814814,0.3833333333333334,30
55,0.4087962962962963,0.4055555555555555,30
56,0.3584362139917696,0.3,30
57,0.5122605363984675,0.4111111111111112,30
58,0.5120370370370371,0.4944444444444444,30
59,0.4312260536398468,0.41111111111111115,30
60,0.7003831417624522,0.6055555555555555,30
61,0.6642592592592592,0.5444444444444445,30
62,0.6508333333333334,0.5166666666666667,30
63,0.4587962962962963,0.4666666666666666,30
64,0.5728703703703704,0.4888888888888888,30
65,0.6980555555555557,0.6277777777777778,30
66,0.5579501915708813,0.47777777777777775,30
67,0.45129629629629636,0.4777777777777778,30
68,0.5131481481481481,0.5277777777777778,30
69,0.24129629629629631,0.3111111111111111,30
70,0.7084259259259259,0.6555555555555554,30
71,0.6,0.5277777777777778,30
72,0.6074074074074075,0.5722222222222222,30
73,0.5405172413793103,0.49444444444444446,30
74,0.45,0.3777777777777778,30
75,0.7359053497942386,0.6777777777777778,30
76,0.367037037037037,0.3944444444444445,30
77,0.4989814814814816,0.49444444444444446,30
78,0.5318007662835249,0.5,30
79,0.20925925925925926,0.26666666666666666,30
80,0.34064814814814814,0.33888888888888885,30
81,0.5672222222222223,0.5166666666666667,30
82,0.5920634920634921,0.5333333333333333,30
83,0.6704980842911878,0.5777777777777778,30
84,0.5090740740740741,0.4333333333333333,30
85,0.703544061302682,0.5944444444444444,30
86,0.5843869731800768,0.4666666666666667,30
87,0.40027777777777784,0.45000000000000007,30
88,0.5637037037037036,0.4333333333333334,30
89,0.5813218390804598,0.5888888888888889,30
90,0.5941666666666667,0.4722222222222222,30
91,0.36962962962962964,0.3777777777777779,30
92,0.4651851851851852,0.42222222222222217,30
93,0.5058333333333335,0.45000000000000007,30
94,0.5006704980842911,0.4833333333333334,30
95,0.6587164750957855,0.561111111111111,30
96,0.4721296296296297,0.5111111111111111,30
97,0.3525,0.40555555555555567,30
98,0.6353703703703704,0.5944444444444444,30
99,0.7373563218390804,0.6166666666666667,30
