permutation,mean_auroc,mean_accuracy,n_folds_scored
0,0.5106742437980517,0.6238900634249471,30
1,0.5241265132916074,0.6205954897815363,30
2,0.5266247623012662,0.5894996476391826,30
3,0.44226163734762414,0.6028541226215646,30
4,0.4545634132151013,0.6061663143058491,30
5,0.5357941090899526,0.607646229739253,30
6,0.4469152827232691,0.6013742071881608,30
7,0.463540413796226,0.6102713178294574,30
8,0.46939133446242737,0.6097956307258633,30
9,0.5084329303478001,0.6122621564482029,30
10,0.4269091224283181,0.6020965468639887,30
11,0.4083454880258355,0.5958421423537703,30
12,0.5309862575543429,0.6345313601127555,30
13,0.5605588298310806,0.5997885835095137,30
14,0.4766237444009611,0.5969344608879493,30
15,0.5049769891322786,0.6130197322057787,30
16,0.5024949612403552,0.6007047216349541,30
17,0.504958977943789,0.6162438336856941,30
18,0.46762138826797034,0.6060077519379845,30
19,0.49435059268153186,0.6123678646934462,30
20,0.5596455294702942,0.6137244538407329,30
21,0.550215818357631,0.6259866102889357,30
22,0.512051822247093,0.6117512332628611,30
23,0.48599793266824565,0.6115398167723749,30
24,0.4593162398321354,0.6028365045806907,30
25,0.5014157499956818,0.6139711064129668,30
26,0.4769169030195819,0.6121916842847075,30
27,0.5594055707041318,0.5952607470049329,30
28,0.5815157882219277,0.6023255813953488,30
29,0.39180594176780514,0.5771317829457364,30
30,0.512574010593863,0.623661028893587,30
31,0.54726348326886,0.6252995066948555,30
32,0.43972297642929015,0.6086504580690627,30
33,0.5169659242486532,0.6097780126849893,30
34,0.47302112936724977,0.6037174066243833,30
35,0.513556956635146,0.615045806906272,30
36,0.5085450372680899,0.5924066243833686,30
37,0.38266114530328216,0.6062544045102186,30
38,0.5182186492901842,0.6073819591261452,30
39,0.48101866907133567,0.6097956307258632,30
40,0.49507226931146675,0.5907152924594786,30
41,0.4960863077265948,0.6070648343904158,30
42,0.5088207157485917,0.6120155038759688,30
43,0.5005920785114832,0.5968816067653278,30
44,0.4451132026787289,0.5907329105003521,30
45,0.5332153756668981,0.6260042283298097,30
46,0.5683048287742406,0.6128083157152925,30
47,0.5470225083360578,0.6152396053558845,30
48,0.5082880721317065,0.6109231853417899,30
49,0.48964914468738213,0.6143939393939395,30
50,0.5801293737869436,0.6182522903453137,30
51,0.5326513569825904,0.6093023255813953,30
52,0.5221911614798215,0.6261627906976744,30
53,0.4612670010654168,0.6015151515151514,30
54,0.5130796067612183,0.6076638477801269,30
55,0.4590687190636834,0.6161909795630726,30
56,0.49972098836083406,0.6145701198026781,30
57,0.5165267817389055,0.6023255813953488,30
58,0.47818430259255784,0.5982558139534883,30
59,0.4899215710818885,0.6032064834390415,30
60,0.5171378776515685,0.6060782241014799,30
61,0.5092086220340654,0.6060253699788585,30
62,0.4961263190548504,0.6160852713178294,30
63,0.49994383201637477,0.6045630725863284,30
64,0.47099012079741165,0.612033121916843,30
65,0.5751900387293811,0.6188865398167723,30
66,0.4451281333022095,0.615398167723749,30
67,0.494278283835313,0.5963002114164905,30
68,0.5331998177968226,0.6132487667371388,30
69,0.4649164675406289,0.604598308668076,30
70,0.4569066971989928,0.6075933756166313,30
71,0.4386800295645078,0.6011275546159266,30
72,0.5144647048266929,0.6174594785059903,30
73,0.43994107641147673,0.5994362226920366,30
74,0.5526915647262077,0.6105884425651866,30
75,0.5082658980258861,0.6175299506694857,30
76,0.4989256515250681,0.6016913319238899,30
77,0.4718730362664963,0.618446088794926,30
78,0.4951152125424949,0.6007928118393234,30
79,0.5578434394745905,0.6200317124735728,30
80,0.39262513120219567,0.596828752642706,30
81,0.5400284086622472,0.6109055673009162,30
82,0.534255086219814,0.6245595489781535,30
83,0.4454531113633867,0.6054968287526425,30
84,0.45756404504995507,0.6153453136011274,30
85,0.4787251582091704,0.6037174066243833,30
86,0.4817334354612195,0.6037878787878788,30
87,0.5270717361318881,0.6036821705426356,30
88,0.5436924699393251,0.603646934460888,30
89,0.5351315582383441,0.6199612403100775,30
90,0.5162048169468513,0.6178294573643411,30
91,0.5267121328393644,0.6136892177589852,30
92,0.4878381891181689,0.6116102889358702,30
93,0.4676148007598027,0.5994714587737844,30
94,0.43336373845550386,0.5954545454545453,30
95,0.5112881805053224,0.611416490486258,30
96,0.4905709238410604,0.620630725863284,30
97,0.5050916369290517,0.6168957011980268,30
98,0.5356536263702059,0.6044573643410853,30
99,0.5559233586234067,0.6130902043692742,30
